Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,AUS,2.48085739405019,1.29693177230521,6.21437634985244,6.97757189326991,5.97750537090864,2.3810335009272,6.30689948609215,5.09512980987455,7.04760243224727,7.17469983682571,4.0009865700372,3.90697856876663,2.6185458738897,4.10661101328289,1.33870055771159,2.58782205117312,3.59237581967973,0.895363440295682,4.05155094854514,3.03453508064058,3.34242019351289,3.32864998005238,-2.22582353017135,4.5644786594345,5.28169814609451,3.96976309787884,2.5567680273608,5.76137011855324,3.87901779350344,3.57297569098456,-0.384631357046658,0.433065864126704,4.04583374101011,3.97884434177331,3.89017188961647,3.86567479160071,3.91795814771731,4.67681373479508,5.02822035850596,3.9160574881715,2.03145880248898,3.94980535772942,3.0912800997751,4.21894147547516,3.15548121323168,2.7709261737475,3.78947119882653,3.62398503565633,1.95484826298522,2.21004795300735,2.39473494330615,3.95247138119184,2.65445302592404,2.60118978187332,2.16434780647852,2.75564065529868,2.29331030192918,2.87417039499501,2.19401703622717,-0.133531904304775,2.00694844335034,4.25304559238732,3.58382100798981,1.37340773365975,1.35039785076631
Brunei Darussalam,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,BRN,-0.645291579006951,20.8741398285027,9.93403484610029,7.01913426136178,24.3383886941687,-9.70796015870228,-22.3848239984139,2.30152997332975,0.399377358630829,-2.3765936752155,-2.9072440789929,-5.4072203182489,2.08354422440964,-1.53586318506849,-2.72621442462589,2.64307356617202,2.91065603669382,-3.12061882634288,-0.633649658776775,0.992734958938726,1.34729376385607,-0.027315465853718,6.34394499326551,-6.65715931266875,4.26072216266995,3.47467627672586,1.4660608198711,3.9614389000248,3.58342909978997,0.104538372603315,-0.0039253166074644,4.09841257308588,-3.76362326254647,-3.90071101715114,-1.90025367202547,2.74136439456163,3.74440625524871,0.913135189664487,-2.12478292664558,-2.50788727590711,-0.392383749502031,-2.47791771833224,1.32872661057823,0.0523710418528935,3.86884436177075,1.1335733495246,-1.59076260099606,-1.62833154515108,1.12764418162719,4.05251709306727,0.66956214816436
Canadá,CAN,3.16329173248933,7.42783725181209,5.29744007975117,6.65599998250741,6.31719994750095,6.75969011323785,3.06542075476872,5.00827413057785,5.06703238381456,2.91871305007516,4.01884505535331,5.51966992842571,6.72864152445543,3.35777594002199,1.5454033371204,5.88927591475903,3.53482658557137,3.73597640512338,3.72519945403704,2.17719922747995,3.41506517464589,-3.16615029457148,2.56225365883793,5.89856946503677,4.73768071614444,2.12148088392294,4.07201567327779,4.41083906453277,2.33732982035617,0.202947848289654,-2.09105516498515,0.890466243956382,2.65770683842972,4.49404933882288,2.68232826962129,1.68896122145787,4.28016680422402,3.89288658501088,5.14100348449622,5.13853918994158,1.87509813099847,2.99925533832644,1.8063851195103,3.09236381038156,3.21045441502793,2.63794375302722,2.04990459443619,0.995406371264522,-2.91508627059555,3.09080633744851,3.1371944343876,1.75566133205234,2.32581356612762,2.87346675579731,0.64997101491096,1.03855091989323,3.03383491841392,2.74296341402246,1.90843193887251,-5.03823342794087,5.95052804984759,4.69541985045903,1.95308552199025,2.04626605401701,1.74268536175708
Chile,CHL,5.51961070344885,3.93078479110629,5.68667190016438,2.46113427734542,0.670838636062939,11.4634218589357,3.58811073177469,3.57371701447551,4.10317976748962,1.69447257971353,9.57107393842624,-0.712365918422577,-5.03775611682208,1.2495800122858,-12.2737621533613,3.60469484521828,11.1491944807539,8.02682491365691,8.43582175738598,8.17228334347537,6.71863895635887,-11.5020620535762,-4.9352297090374,3.98371018713553,3.55239860775048,5.40556438635799,6.73884253090458,7.35081069623416,10.3583568690228,3.59872304691744,7.75620189312957,11.5019314370192,6.6855844008042,5.07680374667352,9.25542757753573,7.1148626270751,7.3917392684331,4.18088662700669,-0.2736313981937,4.9716214882971,3.15403492459967,3.20279913520113,4.72324526861041,6.67425416822923,5.83704571917758,6.04999082563968,5.16823098528431,3.78939280635238,-1.11803723642878,5.85165102224047,6.22389678509138,6.15534001855494,3.30850824710085,1.79264947139259,2.15194249981184,1.753038749071,1.35769537343957,3.99002947789977,0.644223402631923,-6.1396969411886,11.3374032409913,2.06391864254198,0.677024831595858,2.80512637106611,2.45925474781374
China,CHN,-27.2700000038883,-5.57999999019671,10.2999999963989,18.1799999938203,16.9500000038699,10.6499999984174,-5.77000000405148,-4.09999998647768,16.9399999960609,19.2999999967022,7.05999999853672,3.81000000021984,7.76000000084325,2.31000000294736,8.71999999747992,-1.57000000165326,7.57000000138403,11.3269542129809,7.59480175999998,7.84141706847441,5.11486309071954,9.02434347373044,10.7718383060041,15.1921349118079,13.4284820016509,8.9437463904392,11.6552658383921,11.2209115803492,4.20785693658392,3.9225195692421,9.37563237902144,14.2976226152779,13.9261028311995,13.0827122987906,11.0154136659719,9.97328781228394,9.29759460595947,7.92354535108497,7.74123827728161,8.57357328926101,8.32404695347056,9.23604870383861,10.1138119025242,10.1404291872206,11.4535130030645,12.6752842281595,14.1507710506103,9.66877608164454,9.40610014336416,10.5916903885704,9.46205248298186,7.8578201481217,7.77842954757257,7.46100735778161,6.98162255562367,6.7736886867727,6.89123916636191,6.757806142324,6.06737806333672,2.33950385203023,8.57038414981781,3.13385438394069,5.41600334492955,4.95830378788091,4.95994886240992
"Hong Kong, Región Administrativa Especial",HKG,HKG,14.2908554675842,15.7633614168209,8.62789586816336,14.6423838228378,1.79477071258098,1.60350845976313,3.39746066084628,11.3434724346297,9.20666451913097,7.29280183538859,10.6120485240043,12.2796298022321,2.41533565971315,0.492028182797924,16.1643017176998,11.7258139176053,8.26088657795823,11.5567867978322,10.1081752759651,9.2608811545638,2.94988007844803,5.97706915415,9.97386418085986,0.757062639209607,11.056104096916,13.3984575956805,8.51153048557791,2.2770989833746,3.83055083915474,5.70193577048867,6.23502387210803,6.20118510679872,6.03603037436426,2.37382875928816,4.25847572892732,5.09969994681332,-5.88263751764842,2.50671604844752,7.66344398397743,0.560867137855524,1.6567016736435,3.05635886663597,8.70006555836002,7.38815395153696,7.03264766297669,6.46482809096842,2.12793685154209,-2.45909150468412,6.76770683250318,4.81466801092733,1.70032214482865,3.10155262780289,2.76241378329884,2.38780116013344,2.17544820327555,3.79610937243891,2.84690922660509,-1.67242865968056,-6.54479640529367,6.45443038333934,-3.68528359281325,3.15034461759902,2.62936861207362,3.48764886355949
Indonesia,IDN,5.74064582266813,1.84197770236842,-2.23702998571657,3.52969814993797,1.08158946626055,2.79134682484525,1.38040280607036,10.9151785714295,6.82229824913614,7.55463451394223,7.02399719740848,7.03764320785962,8.1039755351653,7.6346729055067,4.97730086669512,6.88656497352524,8.76132560106353,6.76706985763171,7.32430948559606,9.88007752166418,7.92715682412874,2.24644534036375,4.1929673681999,6.97552780884124,2.46214356422551,5.87504510359864,4.92592736496611,5.7804984881177,7.45658692516847,7.24213163856464,6.91198283591309,6.49750651682714,6.49640812045304,7.53997109551439,8.22000739903493,7.81818707670867,4.69987885390397,-13.1267254923818,0.79112608199847,4.9200677470169,3.64346644721492,4.49947539085764,4.78036912167654,5.03087394501685,5.69257130383384,5.50095178520348,6.34502222667214,6.01370360009123,4.62887118256153,6.22385418062366,6.16978420771008,6.03005065305615,5.5572636889101,5.006668425755,4.87632230022123,5.03306918280177,5.06978590134916,5.17429153955024,5.01928768046282,-2.06551182934165,3.70288562827751,5.30719722664799,5.04883117855516,5.03257477088519,5.10808904438025
Japón,JPN,12.043536357022,8.90897303614973,8.47364243635415,11.676708250654,5.81970783966972,10.6385615902031,11.0821423327248,12.8824681707163,12.4778945420024,0.399050611065093,4.69899204214205,8.41354725497627,8.03259997458245,-1.22523982750916,3.09157591623077,3.97498409113672,4.39033795009327,5.27194150317187,5.4840418324284,2.81759120738283,4.20933646523171,3.31245673740017,3.52304498510377,4.50199481622435,5.23338094687848,3.32652561623384,4.73066586040017,6.78502010955764,4.85803768615389,4.89271306574565,3.41749676183089,0.848069581218368,-0.517919847117952,0.99306636322622,2.34205546196849,3.07546731409349,1.36297109407448,-1.77264091037956,-0.347600398675738,2.97832688768516,0.284608556379041,0.0849888050363319,1.38010935830795,2.11294823723127,1.8482813374834,1.54630843078741,1.72837912865577,-1.16662209355141,-5.9359411383964,4.13645589222239,-0.20035785332982,1.64893452981225,1.99727653399265,0.905915486065865,1.79997735783475,0.704986495111257,1.62345062245441,0.834143845965585,-0.308496921143259,-4.28327942675573,3.56419531474475,1.33164750653741,0.720785304749811,-0.240084236041696,1.19311288444599
"Corea, República de",KOR,6.9203873483396,3.92175773832845,9.00980852779276,9.42671363350965,7.31363967906637,12.0079930944014,9.15142541597389,13.222886263609,14.5906815127852,10.1670415997143,10.6514008040897,7.33682343209188,14.9746910473879,9.64890876792887,7.93151191415265,13.2631948828989,12.3772941278967,11.0694555184031,8.73691533999403,-1.52426391001066,7.40382133739918,8.46826958565821,13.4668057465528,10.6366054976723,7.93879547760545,11.50298504807,12.8922089918574,12.1331951107172,7.16501737923842,10.0248996213899,10.8749739277708,6.35159199606441,6.99471791742556,9.3718357757101,9.7358937505409,7.99042982526839,6.2821926537929,-4.9389297463141,11.6172629559591,9.2018583880479,4.72593560322356,7.74399895319569,3.07472661826947,5.1836368597334,4.35823667337156,5.24500550580342,5.8419633918717,3.00440451679569,0.81986175641795,6.98166138853071,3.6880320602952,2.54766550568242,3.2913959543442,3.21468019683108,2.92029267301234,3.17152748983935,3.433191763972,3.17611568177327,2.31380210595475,-0.700242317542106,4.61296795454287,2.72756456708991,1.58301467403629,2.00361101838986,1.00701840291242
México,MEX,5.00000000072309,4.66441467253127,8.10688692761114,11.9054807657866,7.09999999747173,6.09613930256681,5.85492487897324,9.42327881831926,3.41862002349839,6.50248403469675,3.76246768495716,8.22880731245257,7.86111986063614,5.77682723020618,5.74448504862428,4.41744413626853,3.39063970656844,8.95694232786306,9.69817013704461,8.75662242586424,9.58584115454994,-0.0495863656386035,-4.62412795987231,3.51341334932273,1.91921578613494,-3.92995990782299,2.06336322631584,1.21826122938586,3.62544873456009,5.25004329944582,3.97590497138043,3.56861354412243,2.86699945461075,4.39412788764169,-5.91029962358286,6.21829715869302,7.19887615284711,6.18507893082885,2.75503039300564,5.02928399378261,-0.450845253215945,-0.236588001922641,1.18554486709559,3.56544102622887,2.11324711473297,4.80501351664901,2.0778639395329,0.943331872912935,-6.29525056697287,4.9713345832195,3.44404505297089,3.55321076010608,0.852101550164704,2.50376350783593,2.70232343024026,1.7724932254128,1.87172854648381,1.97208211101069,-0.392690513290532,-8.35403459379062,6.04848347173572,3.70975708309098,3.1067964131456,1.35057631384696,0.561683456144578
Malasia,MYS,7.59799400028281,6.42102960904312,7.33880352682334,5.35896290971056,7.68486347467319,7.81671102618819,3.85714649161983,7.97799464201174,4.88853365256124,5.98653863031986,10.0346605803438,9.38844499098961,11.7010816119945,8.31866197361978,0.801068092192338,11.5634897772546,7.75305838033998,6.65389221500463,9.34909993075928,7.44182677934407,6.94210420118173,5.94315245801018,6.25223081092673,7.76179012218883,-1.02525025342071,1.24059492750688,5.19193211272702,9.93771967651989,9.0596008665043,9.00852713774628,9.54546741443052,8.88511797832156,9.89494333377064,9.21204179334867,9.82908519730812,10.0027006861844,7.32274185035924,-7.35941518817556,6.13761201057692,8.85886816969386,0.517675319192861,5.39098830692797,5.7884992858875,6.78343772370305,5.33213916141486,5.5848470671515,6.29878592740947,4.83176988913097,-1.51352871598714,7.42484738326097,5.29391283414003,5.47345419253853,4.69372252557893,6.00672194558203,5.09153242155011,4.44978139761541,5.81272240983328,4.84308697634881,4.41318742129586,-5.45684658426701,3.31534954399166,9.03173723044451,3.5370638041057,5.10545921024041,5.17127082911057
Nueva Zelandia,NZL,3.31564972674543,3.08087351858559,6.10211748394454,6.10328473743307,6.1117321350133,6.24846245288686,-4.58942364359896,-0.0488485727357499,10.1946714880749,-1.39760788020411,3.78545741843028,5.1191086821659,7.80027793991758,5.99344071907922,-1.73168325405558,0.928812762144631,-3.93633767566311,0.318563365865202,2.19177502002559,1.28425192493805,4.65565287633527,0.929685035623876,3.49152457902733,4.79269907520923,1.61533480446978,2.71326964068473,0.962508198457385,-0.334621133273799,0.164699005861976,0.136887537634095,-1.07586748814022,1.10092234546755,6.3836309435096,5.11167356780264,4.73676080285628,3.59083953715972,2.07551582422867,0.855188594957326,5.38315295474565,2.86879087314065,3.41557461751114,4.71514593471419,4.72587484712128,4.09053577279863,3.35295444152619,2.7744428588158,3.06312221869514,-1.02561134479848,-0.040259885205117,1.47182504276788,2.1445004445998,2.30256429520961,2.5648360739867,3.81933619307242,3.72968312125018,3.7435247472109,3.31568621648204,3.32219666491432,2.32371708441623,-0.240916114758988,4.29916005216614,3.34521847792682,1.81389453412019,-0.868722371893952,0.462871830681081
Perú,PER,7.34709633145569,10.0352933342212,4.32824981844591,6.54786765047102,5.62173344947736,8.2389204457594,3.85256440782895,0.152237710931757,3.51445891251396,3.36594600332614,4.59053992759885,3.47753512310473,6.27693475562022,9.38683491938303,4.30086316548426,1.44711099517411,0.349063699303812,-2.64250297882154,4.09075057410003,5.94333539830841,5.55204181484046,-0.2227234441863,-10.408085798297,3.60828653816966,2.06113206625895,9.42596236073652,9.72614643050372,-9.44127344629392,-12.3120414471296,-4.98256353646605,2.2192591027909,-0.540509124723926,5.24357700773291,12.3083661848445,7.41139504735119,2.79897307912609,6.47682442079709,-0.391537555833821,1.49491064308833,2.69437139806912,0.617892325624297,5.45352893818767,4.16502313666112,4.95820320611745,6.28506032509601,7.5288990440594,8.5183877690955,9.1265683014642,1.0958236592427,8.33245910749577,6.32719240161117,6.13972470560435,5.85251821084928,2.38215737180541,3.25224477218451,3.95331871520767,2.51883544233135,3.969351341365,2.24063176875049,-10.9333065010382,13.4166456126513,2.81819976419922,-0.350699814345759,3.5152749274832,3.43056395124466
Filipinas,PHL,5.69547095029755,4.84629418915898,7.01626518416583,3.40249443571273,5.34508932932236,4.4411585340256,5.22268758922664,5.03815939692956,4.68947344100819,3.69248748654796,5.38900841621259,5.43038749392343,8.78200912237088,3.39460637850206,5.45110286965478,8.77840333051334,5.56297025151267,5.19238453027808,5.59557107591131,5.20071107911187,3.42220873753665,3.69840609851109,1.89695178959097,-7.0393782012259,-6.85837720864683,3.51068403005506,4.36180967277697,6.69693110468185,6.18391820283388,3.08267252855887,-0.436390080533428,0.417629066097945,2.181889985613,4.37366591819077,4.62522511739661,5.8603478716379,5.18641167406165,-0.514090599541888,3.34645118398267,4.38250500083399,3.04923134463486,3.71625500158383,5.08691113513073,6.56922851180626,4.94250511877678,5.31641682136939,6.51929155018938,4.34448730509183,1.44832306275669,7.33449996034538,3.85823282795663,6.89695171050985,6.75053130142255,6.34798748260867,6.34830971672761,7.14945675000752,6.9309883258402,6.34148557153473,6.11852566221303,-9.51829474045297,5.71473313185116,7.58098212785563,5.51894967856043,5.71474526128652,4.40240158710621
Papua Nueva Guinea,PNG,6.18111172492752,6.37409931200521,4.07252177318168,8.57028153120143,10.2685198038056,5.8137579823151,4.07046147460628,4.35959025088704,8.27345794779133,10.8428057776823,6.29519256737012,5.6435533711489,6.52926483244623,2.61053259341438,-0.87988416462035,-3.38844861433063,0.834815601092103,8.549859334011,1.83239551493573,-2.30345120118429,-0.274829571650017,0.352944288679396,3.22316306354293,-0.354726452176862,4.00019034409902,4.69305706882692,2.7704948317036,2.90924048446031,-1.41957988360637,-3.01216922181256,9.54689771039914,13.8490852689481,18.2022859527298,5.94210905967769,-3.31244877829666,7.73369579796399,-3.90438965639359,-3.76911321783457,1.85555399408817,-2.49484199260023,-0.121288605564772,-0.158900533082658,2.16410250222083,2.72117574098235,6.34479592309654,5.40994409107307,7.81518922862388,-0.296457845880582,6.80042148322096,10.1284540720232,1.10754362619616,4.65711959686239,3.82494632800675,13.5437706216546,6.57835632304275,5.48957315278187,3.53461081750459,-0.279252284959952,4.48051456942582,-3.16743204434815,-0.510612607034361,5.70701964996525,3.81046308333708,3.88795324667848,5.63792052319458
Federación de Rusia,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,-2.99999564243126,-5.04693945142462,-14.5310737729264,-8.66854034260423,-12.5697559802151,-4.1435284052602,-3.7550694383594,1.3999158052963,-5.2999616266239,6.39991469144101,10.0000668136515,5.10005122572568,4.69999190914258,7.29995234528189,7.19994786954857,6.39996544799469,8.20006825456321,8.49997776916511,5.19996926404957,-7.79999391271275,4.49999999920672,4.30002918604238,4.0240861571798,1.75542214916291,0.736267221403651,-1.9727192264298,0.193671130698817,1.82670527549192,2.80634082046656,2.19807571381982,-2.65365449695453,5.866491772979,-1.43537063467896,4.06661395813023,4.92167966203073,1.00117656925738
Singapur,SGP,8.13752950817668,7.55344418052258,10.0401733131415,-3.10316815597076,7.83426046474929,10.180095306912,12.508612746034,13.5269942226387,13.8338251160131,13.9420030031916,12.4134371586342,13.3155626083739,10.6030030171787,6.11740437109883,3.98873862550901,7.43716681814959,6.85244239382494,7.77718195422017,9.55444873972347,10.1133721068475,10.8159232986752,7.10214484891354,8.55448210614414,8.79228623912256,-0.622701650113157,1.34281041445436,10.7979324702819,11.26359213382,10.1588286387889,9.82089955731777,6.68839753958379,6.63980556949564,11.459650875246,11.0956893100227,7.17540112091071,7.47139086002002,8.31620911124497,-2.19101500611274,5.71837175710837,9.03831632555163,-1.07086275100448,3.92336076702013,4.54825542643229,9.93998268434957,7.36632239250758,9.00676607871758,9.02151951268893,1.86348345462035,0.127953382778088,14.5197497108994,6.21493416858989,4.43549759378537,4.81763099120676,3.93554027709007,2.97679931634806,3.91095306322606,4.32679370770501,3.18660848474074,1.15877947300108,-3.61084281729929,10.1410845197192,4.01027884472296,1.45026775889565,5.3435120192366,5.02588199508003
Estados Unidos,USA,2.29999999989235,6.100000008077,4.40000000466181,5.8000000040378,6.40000000107759,6.50000000865072,2.49999999306594,4.80000000278329,3.09999999656958,0.216606498143278,3.29272243899894,5.25550197771585,5.64567975951033,-0.540550190362552,-0.205619191208058,5.38803390614694,4.62418650079432,5.53520648057204,3.16598822512103,-0.256775739391401,2.53770127042986,-1.80301377321203,4.58379096944093,7.2364531665454,4.16957535422245,3.46265504522061,3.45462966441372,4.17698239478443,3.67223784138015,1.88596557755378,-0.108312873733027,3.52249717254271,2.75179586314481,4.02902272637739,2.68443073970295,3.77277269047364,4.44712793442667,4.48313335499124,4.78842504836746,4.07758575997799,0.955538337599847,1.70044733078285,2.79560596378604,3.84777169267127,3.48354993710312,2.78453963674239,2.0038583039496,0.113587247501258,-2.5765002366652,2.69519258673525,1.56440685205419,2.28911339009767,2.11783009443471,2.52381981757846,2.94555045227337,1.81945147909089,2.45762230126449,2.96650506701943,2.58382533052225,-2.081375977796,6.15202247867526,2.52421385073222,2.93436322440155,2.79318715363841,2.16138195623856
Viet Nam,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,VNM,3.80585566810947,2.78929157479443,3.5834696313072,5.13501167157808,7.36451289395819,5.10091813908369,5.96084393218912,8.64604745934572,8.07273065739605,8.83898095245374,9.54048017491264,9.34001749939179,8.1520841433542,5.76445545848843,4.77358688344989,6.78731640463151,6.19289331233377,6.32082099160833,6.89906349055258,7.53641060890386,7.54724772895918,6.97795481056711,7.12950448605439,5.66177120891362,5.39789754014181,6.42324482239482,6.41316889681683,5.5045447041189,5.55351081026072,6.42224312118567,6.98715430598611,6.69000892660424,6.94019037359206,7.46500685572751,7.35926270105006,2.86541320912272,2.55372852648131,8.53750041218142,4.97865959483225,7.03955197123018,8.01882998978245
